epoch,acc,loss,lr,val_acc,val_loss
0,0.0,0.013031700488381785,0.001,0.0,0.002785734027702123
1,0.0,0.004822742933719396,0.001,0.0,0.0030901883774680163
2,0.0,0.002329853296238617,0.001,0.0,0.0025764443917920253
3,0.0,0.002284989432773548,0.001,0.0,0.00379162574763944
4,0.0,0.0029202668280730692,0.001,0.0,0.0024983236985395806
5,0.0,0.0018695986657942475,0.001,0.0,0.0027301710985286683
6,0.0,0.002530061408018308,0.001,0.0,0.0026404593217879387
7,0.0,0.0029792439833677977,0.001,0.0,0.0028274029265662535
8,0.0,0.0017984664759236237,0.001,0.0,0.0025677183933161527
9,0.0,0.0017827935155545328,0.001,0.0,0.0033445418029541857
10,0.0,0.0012671224872714707,0.001,0.0,0.0030118089680803086
11,0.0,0.0018189683674979184,0.001,0.0,0.002490803727815891
12,0.0,0.0015330813002768042,0.001,0.0,0.0025439147812800636
13,0.0,0.0020408742072455257,0.001,0.0,0.0031417289287427653
14,0.0,0.00171856871740709,0.001,0.0,0.005141782663817623
15,0.0,0.0015200145001835167,0.001,0.0,0.004026166966320887
16,0.0,0.0012782927923101768,0.001,0.0,0.00403427585391408
17,0.0,0.001198430863046202,0.001,0.0,0.003352830209425224
18,0.0,0.0009740019695124511,0.001,0.0,0.0035711224256840357
19,0.0,0.0017730654512642162,0.001,0.0,0.0027874314359256198
20,0.0,0.001042841008796673,0.001,0.0,0.004338993598578562
21,0.0,0.0012953404797094283,0.001,0.0,0.0022955811644871055
22,0.0,0.0008369359340326026,0.001,0.0,0.002332124335297356
23,0.0,0.0007831111300582974,0.001,0.0,0.002653165574167199
24,0.0,0.00128707626784046,0.001,0.0,0.003200733203789577
25,0.0,0.001440917812413972,0.001,0.0,0.0038440334685192687
26,0.0,0.001879268677118395,0.001,0.0,0.0024247618470675876
27,0.0,0.0012084184150817103,0.001,0.0,0.00267023366550213
28,0.0,0.001398595277933413,0.001,0.0,0.004920770587936374
29,0.0,0.0011998823292787403,0.001,0.0,0.0035891886685832674
30,0.0,0.0012398157657291557,0.001,0.0,0.003032804909506308
31,0.0,0.0017356626862049874,0.001,0.0,0.0027486743770191086
32,0.0,0.0021632587854874324,0.001,0.0,0.15448668821866215
33,0.0,0.0019359415666007533,0.001,0.0,0.00437314703193461
34,0.0,0.0016638912923468891,0.001,0.0,0.00618042583058914
35,0.0,0.0013220917275508068,0.001,0.0,0.004023358308331091
36,0.0,0.0010781328979073313,0.001,0.0,0.003945996495235592
37,0.0,0.0018497221484399524,0.001,0.0,0.0019790676635032833
38,0.0,0.0018482998881163306,0.001,0.0,0.0026057830735297847
39,0.0,0.0014148695896760437,0.001,0.0,0.0034415506943601547
40,0.0,0.0011010001002916415,0.001,0.0,0.003293030735293376
41,0.0,0.0007687104953936957,0.001,0.0,0.0025541803047171075
42,0.0,0.0026989485300031348,0.001,0.0,0.001684375133811556
43,0.0,0.002672421850615039,0.001,0.0,0.005335202565063433
44,0.0,0.001571739786086613,0.001,0.0,0.011037024095874702
45,0.0,0.0007578003845490707,0.001,0.0,0.0044192866837431495
46,0.0,0.0008205210536562384,0.001,0.0,0.007215997968052555
47,0.0,0.0006773879027838263,0.001,0.0,0.002351769563364062
48,0.0,0.0005997362626335707,0.001,0.0,0.0027295859164117925
49,0.0,0.0009035838061365588,0.001,0.0,0.002569507041331289
50,0.0,0.0019016759019927696,0.001,0.0,0.0019277545459037463
51,0.0,0.0019234955999564397,0.001,0.0,0.0021827765836511174
52,0.0,0.0013268974521071213,0.001,0.0,0.0028679999732183006
53,0.0,0.0008898816797469417,0.001,0.0,0.0019559142997848523
54,0.0,0.0008408050482927505,0.001,0.0,0.0022172350591287164
55,0.0,0.0008822234669755318,0.001,0.0,0.0020405858760272964
56,0.0,0.0008303792473373779,0.001,0.0,0.0028924115261365776
57,0.0,0.0008372426244632107,0.001,0.0,0.0056187382399155005
58,0.0,0.0006920788285157326,0.001,0.0,0.005141926725197749
59,0.0,0.0006920395770541442,0.001,0.0,0.0036483466369444
60,0.0,0.0007970309482968821,0.001,0.0,0.004044798474066106
61,0.0,0.0006484457465425464,0.001,0.0,0.007928727261189903
