epoch,acc,loss,lr,val_acc,val_loss
0,0.0,0.12466800583554019,0.001,0.0,0.06411554020246849
1,0.0,0.09485586160069029,0.001,0.0,0.1545839896196215
2,0.0,0.07314950002017867,0.001,0.0,0.09182841855610532
3,0.0,0.05652912748344426,0.001,0.0,0.04750897766554297
4,0.0,0.04165646314547567,0.001,0.0,0.02127579871216431
5,0.0,0.031520465755917756,0.001,0.0,0.032140166411552526
6,0.0,0.023042762881429323,0.001,0.0,0.00861027768670852
7,0.0,0.019856615542558027,0.001,0.0,0.020366749454695694
8,0.0,0.014241573469612398,0.001,0.0,0.01898981689984722
9,0.0,0.009205292070770792,0.001,0.0,0.02123621390591114
10,0.0,0.0066114864977342746,0.001,0.0,0.025271698392083493
11,0.0,0.005464763179871029,0.001,0.0,0.021934864180061617
12,0.0,0.0042380605883933055,0.001,0.0,0.026324376298729423
13,0.0,0.003528486957929551,0.001,0.0,0.013333126462151852
14,0.0,0.003017720094253424,0.001,0.0,0.014916491359839298
15,0.0,0.002977176156500584,0.001,0.0,0.00950710383688875
16,0.0,0.001853754102789196,0.001,0.0,0.010381840747492066
17,0.0,0.0014094296249840866,0.001,0.0,0.01026521377228751
18,0.0,0.001886407158846779,0.001,0.0,0.007636601115654915
19,0.0,0.0019791241181243598,0.001,0.0,0.008310179359146528
20,0.0,0.001576564862252915,0.001,0.0,0.002991622001886955
21,0.0,0.001286875458865477,0.001,0.0,0.0017236500486428735
22,0.0,0.001840351829580559,0.001,0.0,0.004813570029152732
23,0.0,0.000915327184951722,0.001,0.0,0.006129985138443597
24,0.0,0.0009687077557998411,0.001,0.0,0.010549736938673287
25,0.0,0.001755790507680108,0.001,0.0,0.0046195995792049195
26,0.0,0.0015650683586150775,0.001,0.0,0.01865293169990549
27,0.0,0.0012637230999460397,0.001,0.0,0.010775388165702815
28,0.0,0.0007431983392630598,0.001,0.0,0.008901873383248968
29,0.0,0.0010735163407221326,0.001,0.0,0.007474722524214848
30,0.0,0.002791204647759774,0.001,0.0,0.006200399089219241
31,0.0,0.0012741244545440406,0.001,0.0,0.0053534266364581775
32,0.0,0.0008963912044734387,0.001,0.0,0.009254320905419994
33,0.0,0.0027842796287210337,0.001,0.0,0.0016981988819186997
34,0.0,0.0032697591756865054,0.001,0.0,0.005435554099640823
35,0.0,0.002516731217829281,0.001,0.0,0.005367039619105423
36,0.0,0.0025295060561090167,0.001,0.0,0.0017836714306110207
37,0.0,0.0014663174733510378,0.001,0.0,0.0018730233507909728
