epoch,acc,loss,lr,val_acc,val_loss
0,0.0,0.12589019070851978,0.001,0.0,0.10638857280532715
1,0.0,0.0886525183622473,0.001,0.0,0.0862993992901788
2,0.0,0.06462192568432522,0.001,0.0,0.03899043137804041
3,0.0,0.04607396385646219,0.001,0.0,0.01599709222579531
4,0.0,0.0324115702524561,0.001,0.0,0.023941139731868146
5,0.0,0.022434605294700913,0.001,0.0,0.008684065043834482
6,0.0,0.017205113292731382,0.001,0.0,0.009942917715244252
7,0.0,0.014675152602747743,0.001,0.0,0.0017090486735424509
8,0.0,0.008807645477538038,0.001,0.0,0.0019149890867993236
9,0.0,0.005988462865949044,0.001,0.0,0.0019188558169826407
10,0.0,0.004439313229623026,0.001,0.0,0.0019846244332646684
11,0.0,0.003893929651796157,0.001,0.0,0.0020842955684578367
12,0.0,0.0032917519313342904,0.001,0.0,0.0020525335263130553
13,0.0,0.0023897007908305072,0.001,0.0,0.0021119300113174276
14,0.0,0.0018115398265292932,0.001,0.0,0.0020465101037986503
15,0.0,0.0014941397391424831,0.001,0.0,0.002052271728899348
16,0.0,0.001345547632396845,0.001,0.0,0.002037667854014656
17,0.0,0.0010719173388576292,0.001,0.0,0.002060277056031553
18,0.0,0.0008478152411966929,0.001,0.0,0.0022089963992759404
19,0.0,0.0009985817559040495,0.001,0.0,0.0021583348190930348
20,0.0,0.001348264480704726,0.001,0.0,0.0017315890048481433
21,0.0,0.0019935206897221873,0.001,0.0,0.0036796971403172452
22,0.0,0.0012756107799970348,0.001,0.0,0.005425376998801977
23,0.0,0.0009435551634443732,0.001,0.0,0.0044007042854143485
24,0.0,0.0013946725042385457,0.001,0.0,0.002241901723608338
25,0.0,0.001022934881664051,0.001,0.0,0.0033738959094353495
26,0.0,0.0011439586727862163,0.001,0.0,0.0023364988296164266
27,0.0,0.0009552364984843788,0.001,0.0,0.0019919581836309705
28,0.0,0.0007307211388323429,0.001,0.0,0.0017269147356900843
29,0.0,0.0005717826663089797,0.001,0.0,0.0017962936463429171
30,0.0,0.0010349486321967847,0.001,0.0,0.002516680960496142
31,0.0,0.0007662538754733124,0.001,0.0,0.0018897122649586039
32,0.0,0.0005067696757878411,0.001,0.0,0.0020227213824578457
33,0.0,0.0004405565503950281,0.001,0.0,0.002042340874566417
