epoch,acc,loss,lr,val_acc,val_loss
0,0.0,0.17599025566883275,0.001,0.0,0.842124303573458
1,0.0,0.1271755623773401,0.001,0.0,0.8637869769129259
2,0.0,0.12231234222503719,0.001,0.0,0.8426072847079761
3,0.0,0.09176461857381125,0.001,0.0,0.0026110891904223142
4,0.0,0.061190804218864206,0.001,0.0,0.003884996965945024
5,0.0,0.039996314968161396,0.001,0.0,0.005310871114775429
6,0.0,0.03453411384866449,0.001,0.0,0.03250970841922196
7,0.0,0.0204640012647351,0.001,0.0,0.03674515112867496
8,0.0,0.013370072638863707,0.001,0.0,0.018958050583310314
9,0.0,0.00952103570920273,0.001,0.0,0.004319102725867421
10,0.0,0.007384056521331882,0.001,0.0,0.004098021996487391
11,0.0,0.005721797386707344,0.001,0.0,0.003219920745018521
12,0.0,0.004165844133885329,0.001,0.0,0.0028964828383269275
13,0.0,0.0033597053049288215,0.001,0.0,0.003080014105005364
14,0.0,0.0026945518272392124,0.001,0.0,0.003051515370423864
15,0.0,0.002382819069402632,0.001,0.0,0.0026411047145687592
16,0.0,0.0020279401553143276,0.001,0.0,0.004087397519021933
17,0.0,0.0020629423449683034,0.001,0.0,0.002873577166055077
18,0.0,0.0021346816259752866,0.001,0.0,0.0035626344024914827
19,0.0,0.0029930624912442466,0.001,0.0,0.0032615070208319888
20,0.0,0.003226779743666609,0.001,0.0,0.004987830305907857
21,0.0,0.002847893646427343,0.001,0.0,0.0036621557599107912
22,0.0,0.0013865871570563962,0.001,0.0,0.003928500681839857
23,0.0,0.002211799594491096,0.001,0.0,0.0059446317001516594
24,0.0,0.0013049661988745733,0.001,0.0,0.006683558982618043
25,0.0,0.0011338006763540098,0.001,0.0,0.004179525810748045
26,0.0,0.0010620030651776247,0.001,0.0,0.004321963197134179
27,0.0,0.0009359530893812791,0.001,0.0,0.003225790748482781
28,0.0,0.0009825980737220423,0.001,0.0,0.004103769481714282
29,0.0,0.0007400699021475931,0.001,0.0,0.003899909061577006
30,0.0,0.0015276189904380132,0.001,0.0,0.004095285619365905
31,0.0,0.0010217782588827016,0.001,0.0,0.0051441187947401275
32,0.0,0.0010219794294333516,0.001,0.0,0.00670024119959823
33,0.0,0.0018478395696041251,0.001,0.0,0.003336046927888405
34,0.0,0.0014189157908520858,0.001,0.0,0.0026998492886812376
35,0.0,0.0017906115181042165,0.001,0.0,0.003221531160028991
36,0.0,0.0011355543138947925,0.001,0.0,0.004303588268113107
37,0.0,0.0019579345450433786,0.001,0.0,0.0026111826128578687
38,0.0,0.0012738819341886367,0.001,0.0,0.008474049011584868
39,0.0,0.003261135704270587,0.001,0.0,0.05191840069928193
